3 ತ್ರಿಮೂರ್ತಿಗಳು - ಬ್ರಹ್ಮಾ, ವಿಷ್ಣು, ಮಹೇಶ್ವರ
3 ಪ್ರಮಾಣತ್ರಯ ಪ್ರತ್ಯಕ್ಷ, ಅನುಮಾನ, ಆಗಮ
3 ಪ್ರಮಾಣತ್ರಯ ಶ್ರುತಿ, ಯುಕ್ತಿ, ಸ್ವಾನುಭೂತಿ
3 ಪ್ರಸ್ಥಾನತ್ರಯ  ಶ್ರುತಿ, ಸ್ಮೃತಿ, ಸೂತ್ರ
3 ಪುರುಷತ್ರಯ ಕ್ಷರ, ಅಕ್ಷರ, ಪರಮ
3 ಪುರುಷತ್ರಯ ಪ್ರಥಮ, ಮಧ್ಯಮ, ಉತ್ತಮ
3 ಬಂಧತ್ರಯ ಮೂಲ, ಉಡ್ಡಿಯಾಣ, ಜಾಲಂಧರ
3 ಭಾವತ್ರಯ ದೇಹ, ಜೀವ, ಬ್ರಹ್ಮ
3 ಭೇದತ್ರಯ ಸ್ವಗತ, ಸಜಾತೀಯ, ವಿಜಾತೀಯ
3 ಮತತ್ರಯ ಅದ್ವೈತ, ವಿಶಿಷ್ಟಾದ್ವೈತ, ದ್ವೈತ
3 ಮಲತ್ರಯ  ಆಣವ, ಮಾಯಾ, ಕಾರ್ಮಿಕ
3 ಮಾತ್ರಾತ್ರಯ  ಹ್ರಸ್ವ, ದೀರ್ಘ, ಪ್ಲುತ
3 ಮುದ್ರಾತ್ರಯ ವಜ್ರೋಲೀ, ಅಮರೋಲೀ, ಸಹಜೋಲೀ
3 ಮುಹೂರ್ತತ್ರಯ ಬ್ರಹ್ಮ, ಅಭಿಜಿತ್, ಗೋಧೂಲಿ
3 ಯೋಗತ್ರಯ  ಭಕ್ತಿ, ಕರ್ಮ, ಜ್ಞಾನ
3 ರತ್ನತ್ರಯ ಸಮ್ಯಗ್ದರ್ಶನ, ಸಮ್ಯಜ್ಞಾನ, ಸಮ್ಯಕ್ಚಾರಿತ್ರ್ಯ
3 ರಾಮತ್ರಯ ಪರಶುರಾಮ, ಶ್ರೀರಾಮ, ಬಲರಾಮ
3 ಲಿಂಗತ್ರಯ  ಪುಮ್, ಸ್ತ್ರೀ, ನಪುಂಸಕ
3 ಲಿಂಗತ್ರಯ ಸ್ವಯಮ್ಭೂ, ಬಾಣ, ಇತರ
